Epoch 1: Train Loss=1.008404, Train Acc=7.85%, Val Loss=0.998537, Val Acc=7.72%
Epoch 2: Train Loss=0.983684, Train Acc=8.12%, Val Loss=1.000648, Val Acc=7.57%
Epoch 3: Train Loss=0.968082, Train Acc=8.10%, Val Loss=1.004950, Val Acc=7.76%
Epoch 4: Train Loss=0.950086, Train Acc=8.01%, Val Loss=1.013319, Val Acc=7.89%
Epoch 5: Train Loss=0.929129, Train Acc=8.40%, Val Loss=1.026971, Val Acc=7.76%
Epoch 6: Train Loss=0.904197, Train Acc=8.52%, Val Loss=1.044547, Val Acc=7.67%
Epoch 7: Train Loss=0.875813, Train Acc=8.26%, Val Loss=1.066848, Val Acc=7.79%
Epoch 8: Train Loss=0.843143, Train Acc=8.64%, Val Loss=1.081657, Val Acc=7.86%
Epoch 9: Train Loss=0.824104, Train Acc=8.68%, Val Loss=1.095891, Val Acc=7.82%
Epoch 10: Train Loss=0.802990, Train Acc=8.60%, Val Loss=1.113296, Val Acc=7.57%
Epoch 11: Train Loss=0.785271, Train Acc=8.97%, Val Loss=1.124597, Val Acc=7.86%
Epoch 1: Train Loss=1.007280, Train Acc=7.93%, Val Loss=1.031159, Val Acc=7.72%
Epoch 2: Train Loss=0.983430, Train Acc=7.97%, Val Loss=1.033149, Val Acc=7.70%
Epoch 3: Train Loss=0.967096, Train Acc=8.09%, Val Loss=1.037647, Val Acc=7.75%
Epoch 4: Train Loss=0.947378, Train Acc=8.44%, Val Loss=1.046288, Val Acc=8.08%
Epoch 5: Train Loss=0.924847, Train Acc=8.40%, Val Loss=1.062788, Val Acc=8.11%
Epoch 6: Train Loss=0.899080, Train Acc=8.11%, Val Loss=1.081259, Val Acc=8.08%
Epoch 7: Train Loss=0.868613, Train Acc=8.36%, Val Loss=1.103973, Val Acc=7.82%
Epoch 8: Train Loss=0.834201, Train Acc=8.59%, Val Loss=1.116754, Val Acc=7.80%
Epoch 9: Train Loss=0.812277, Train Acc=8.82%, Val Loss=1.131581, Val Acc=7.61%
Epoch 10: Train Loss=0.792292, Train Acc=8.80%, Val Loss=1.149967, Val Acc=7.90%
Epoch 11: Train Loss=0.771491, Train Acc=9.26%, Val Loss=1.158781, Val Acc=7.27%
Epoch 12: Train Loss=0.748872, Train Acc=9.04%, Val Loss=1.174755, Val Acc=7.19%
Epoch 13: Train Loss=0.726237, Train Acc=9.61%, Val Loss=1.187434, Val Acc=7.63%
Epoch 14: Train Loss=0.706002, Train Acc=9.38%, Val Loss=1.196020, Val Acc=7.27%
Epoch 15: Train Loss=0.691034, Train Acc=9.57%, Val Loss=1.204019, Val Acc=7.10%
Epoch 16: Train Loss=0.684575, Train Acc=9.84%, Val Loss=1.215531, Val Acc=7.42%
Epoch 17: Train Loss=0.676320, Train Acc=9.60%, Val Loss=1.220796, Val Acc=7.09%
Epoch 18: Train Loss=0.664242, Train Acc=9.55%, Val Loss=1.227641, Val Acc=7.21%
Epoch 19: Train Loss=0.652929, Train Acc=9.85%, Val Loss=1.233392, Val Acc=7.06%
Epoch 20: Train Loss=0.644523, Train Acc=10.06%, Val Loss=1.234239, Val Acc=7.00%
Epoch 21: Train Loss=0.637728, Train Acc=10.07%, Val Loss=1.239724, Val Acc=7.03%
Epoch 22: Train Loss=0.630747, Train Acc=10.21%, Val Loss=1.242073, Val Acc=6.76%
Epoch 23: Train Loss=0.629949, Train Acc=9.99%, Val Loss=1.245521, Val Acc=6.97%
Epoch 24: Train Loss=0.622871, Train Acc=9.96%, Val Loss=1.249608, Val Acc=6.85%
Epoch 25: Train Loss=0.616245, Train Acc=10.25%, Val Loss=1.253532, Val Acc=7.03%
Epoch 26: Train Loss=0.616554, Train Acc=10.27%, Val Loss=1.253501, Val Acc=7.08%
Epoch 27: Train Loss=0.611104, Train Acc=10.27%, Val Loss=1.255443, Val Acc=7.02%
Epoch 28: Train Loss=0.608600, Train Acc=10.22%, Val Loss=1.257571, Val Acc=7.00%
Epoch 29: Train Loss=0.607423, Train Acc=10.34%, Val Loss=1.258865, Val Acc=7.09%
Epoch 30: Train Loss=0.603008, Train Acc=9.90%, Val Loss=1.261181, Val Acc=7.03%
Epoch 31: Train Loss=0.599769, Train Acc=10.04%, Val Loss=1.262696, Val Acc=7.10%
Epoch 1: Train Loss=0.994511, Train Acc=8.17%, Val Loss=1.026829, Val Acc=7.93%
Epoch 2: Train Loss=0.971781, Train Acc=8.05%, Val Loss=1.028253, Val Acc=7.85%
Epoch 3: Train Loss=0.952529, Train Acc=8.02%, Val Loss=1.034883, Val Acc=8.01%
Epoch 4: Train Loss=0.933078, Train Acc=8.36%, Val Loss=1.047078, Val Acc=7.73%
Epoch 5: Train Loss=0.911588, Train Acc=8.32%, Val Loss=1.066102, Val Acc=7.80%
Epoch 6: Train Loss=0.882830, Train Acc=8.61%, Val Loss=1.084882, Val Acc=7.80%
Epoch 7: Train Loss=0.856550, Train Acc=8.66%, Val Loss=1.108119, Val Acc=7.89%
Epoch 8: Train Loss=0.820719, Train Acc=8.74%, Val Loss=1.120939, Val Acc=8.22%
Epoch 9: Train Loss=0.800851, Train Acc=8.93%, Val Loss=1.135602, Val Acc=7.78%
Epoch 10: Train Loss=0.785580, Train Acc=8.95%, Val Loss=1.148551, Val Acc=7.44%
Epoch 11: Train Loss=0.764986, Train Acc=9.11%, Val Loss=1.167890, Val Acc=7.34%
Epoch 12: Train Loss=0.744325, Train Acc=9.26%, Val Loss=1.181889, Val Acc=7.33%
Epoch 13: Train Loss=0.725180, Train Acc=9.51%, Val Loss=1.194658, Val Acc=7.39%
Epoch 14: Train Loss=0.701229, Train Acc=9.52%, Val Loss=1.204197, Val Acc=7.98%
Epoch 15: Train Loss=0.690602, Train Acc=9.41%, Val Loss=1.210007, Val Acc=7.52%
Epoch 16: Train Loss=0.681995, Train Acc=9.51%, Val Loss=1.222501, Val Acc=7.70%
Epoch 17: Train Loss=0.670357, Train Acc=9.63%, Val Loss=1.229945, Val Acc=7.48%
Epoch 18: Train Loss=0.664013, Train Acc=9.83%, Val Loss=1.235545, Val Acc=7.47%
Epoch 19: Train Loss=0.650711, Train Acc=10.09%, Val Loss=1.242865, Val Acc=7.77%
Epoch 20: Train Loss=0.638647, Train Acc=10.28%, Val Loss=1.246732, Val Acc=7.75%
Epoch 21: Train Loss=0.632833, Train Acc=10.34%, Val Loss=1.249982, Val Acc=7.83%
Epoch 22: Train Loss=0.632195, Train Acc=10.00%, Val Loss=1.253652, Val Acc=7.63%
Epoch 23: Train Loss=0.623672, Train Acc=10.12%, Val Loss=1.258997, Val Acc=7.64%
Epoch 24: Train Loss=0.622369, Train Acc=10.30%, Val Loss=1.264763, Val Acc=7.56%
Epoch 25: Train Loss=0.616567, Train Acc=10.32%, Val Loss=1.265811, Val Acc=7.43%
Epoch 26: Train Loss=0.612472, Train Acc=10.35%, Val Loss=1.266380, Val Acc=7.53%
Epoch 27: Train Loss=0.611796, Train Acc=10.11%, Val Loss=1.270362, Val Acc=7.36%
Epoch 28: Train Loss=0.608028, Train Acc=10.47%, Val Loss=1.271794, Val Acc=7.35%
Epoch 29: Train Loss=0.603308, Train Acc=10.33%, Val Loss=1.273926, Val Acc=7.25%
Epoch 30: Train Loss=0.598774, Train Acc=10.11%, Val Loss=1.275421, Val Acc=7.24%
Epoch 31: Train Loss=0.599957, Train Acc=10.19%, Val Loss=1.277474, Val Acc=7.11%
Epoch 1: Train Loss=1.006655, Train Acc=7.80%, Val Loss=1.001884, Val Acc=6.92%
Epoch 2: Train Loss=0.982854, Train Acc=8.16%, Val Loss=1.003531, Val Acc=7.49%
Epoch 3: Train Loss=0.965802, Train Acc=8.11%, Val Loss=1.008939, Val Acc=7.68%
Epoch 4: Train Loss=0.947907, Train Acc=8.36%, Val Loss=1.019350, Val Acc=7.91%
Epoch 5: Train Loss=0.925954, Train Acc=8.41%, Val Loss=1.035523, Val Acc=7.80%
Epoch 6: Train Loss=0.902072, Train Acc=8.53%, Val Loss=1.057029, Val Acc=7.20%
Epoch 7: Train Loss=0.871173, Train Acc=8.66%, Val Loss=1.082550, Val Acc=7.30%
Epoch 8: Train Loss=0.836828, Train Acc=8.73%, Val Loss=1.098705, Val Acc=8.08%
Epoch 9: Train Loss=0.813706, Train Acc=8.90%, Val Loss=1.112836, Val Acc=7.39%
Epoch 10: Train Loss=0.792652, Train Acc=8.95%, Val Loss=1.131837, Val Acc=8.03%
Epoch 11: Train Loss=0.774632, Train Acc=9.08%, Val Loss=1.144966, Val Acc=7.52%
Epoch 12: Train Loss=0.752329, Train Acc=8.89%, Val Loss=1.159298, Val Acc=7.52%
Epoch 13: Train Loss=0.733926, Train Acc=9.01%, Val Loss=1.175642, Val Acc=7.46%
Epoch 14: Train Loss=0.711608, Train Acc=9.49%, Val Loss=1.185166, Val Acc=7.05%
Epoch 15: Train Loss=0.698557, Train Acc=9.35%, Val Loss=1.194605, Val Acc=7.16%
Epoch 16: Train Loss=0.686345, Train Acc=9.71%, Val Loss=1.203040, Val Acc=7.31%
Epoch 17: Train Loss=0.675350, Train Acc=9.41%, Val Loss=1.210342, Val Acc=7.34%
Epoch 18: Train Loss=0.665848, Train Acc=9.83%, Val Loss=1.219952, Val Acc=7.11%
Epoch 19: Train Loss=0.652231, Train Acc=10.00%, Val Loss=1.225314, Val Acc=7.50%
Epoch 20: Train Loss=0.645033, Train Acc=9.79%, Val Loss=1.229628, Val Acc=7.46%
Epoch 21: Train Loss=0.640858, Train Acc=9.94%, Val Loss=1.233158, Val Acc=7.31%
Epoch 22: Train Loss=0.635611, Train Acc=10.00%, Val Loss=1.238198, Val Acc=7.27%
Epoch 23: Train Loss=0.630868, Train Acc=9.76%, Val Loss=1.242295, Val Acc=7.42%
Epoch 24: Train Loss=0.624219, Train Acc=9.76%, Val Loss=1.245958, Val Acc=7.53%
Epoch 25: Train Loss=0.616837, Train Acc=10.27%, Val Loss=1.250973, Val Acc=7.46%
Epoch 26: Train Loss=0.615406, Train Acc=10.06%, Val Loss=1.252510, Val Acc=7.48%
Epoch 27: Train Loss=0.611982, Train Acc=10.07%, Val Loss=1.253471, Val Acc=7.49%
Epoch 28: Train Loss=0.607446, Train Acc=9.84%, Val Loss=1.256026, Val Acc=7.28%
Epoch 29: Train Loss=0.611052, Train Acc=10.15%, Val Loss=1.258533, Val Acc=7.41%
Epoch 30: Train Loss=0.603674, Train Acc=10.17%, Val Loss=1.259495, Val Acc=7.56%
Epoch 31: Train Loss=0.603209, Train Acc=10.39%, Val Loss=1.261689, Val Acc=7.47%
Epoch 1: Train Loss=1.001469, Train Acc=7.98%, Val Loss=1.033539, Val Acc=8.08%
Epoch 2: Train Loss=0.977226, Train Acc=7.92%, Val Loss=1.034885, Val Acc=7.51%
Epoch 3: Train Loss=0.962581, Train Acc=8.03%, Val Loss=1.038782, Val Acc=7.76%
Epoch 4: Train Loss=0.945040, Train Acc=7.79%, Val Loss=1.046995, Val Acc=7.73%
Epoch 5: Train Loss=0.920845, Train Acc=8.23%, Val Loss=1.059810, Val Acc=8.08%
Epoch 6: Train Loss=0.898301, Train Acc=8.60%, Val Loss=1.076181, Val Acc=7.86%
Epoch 7: Train Loss=0.869393, Train Acc=8.56%, Val Loss=1.096732, Val Acc=7.81%
Epoch 8: Train Loss=0.835180, Train Acc=8.51%, Val Loss=1.103773, Val Acc=8.16%
Epoch 9: Train Loss=0.815907, Train Acc=8.54%, Val Loss=1.117132, Val Acc=7.92%
Epoch 10: Train Loss=0.797841, Train Acc=8.81%, Val Loss=1.129202, Val Acc=7.74%
Epoch 11: Train Loss=0.780133, Train Acc=9.06%, Val Loss=1.143797, Val Acc=7.46%
Epoch 12: Train Loss=0.756284, Train Acc=9.10%, Val Loss=1.158428, Val Acc=7.21%
Epoch 13: Train Loss=0.732412, Train Acc=9.23%, Val Loss=1.175973, Val Acc=7.11%
Epoch 14: Train Loss=0.709061, Train Acc=9.75%, Val Loss=1.184052, Val Acc=7.19%
Epoch 15: Train Loss=0.698893, Train Acc=9.43%, Val Loss=1.191029, Val Acc=6.94%
Epoch 16: Train Loss=0.689991, Train Acc=9.66%, Val Loss=1.200021, Val Acc=6.92%
Epoch 17: Train Loss=0.678424, Train Acc=9.66%, Val Loss=1.205609, Val Acc=7.14%
Epoch 18: Train Loss=0.668254, Train Acc=9.65%, Val Loss=1.211170, Val Acc=7.23%
Epoch 19: Train Loss=0.657152, Train Acc=9.97%, Val Loss=1.217966, Val Acc=7.07%
Epoch 20: Train Loss=0.646512, Train Acc=10.11%, Val Loss=1.221297, Val Acc=7.29%
Epoch 21: Train Loss=0.640353, Train Acc=9.88%, Val Loss=1.225998, Val Acc=7.18%
Epoch 22: Train Loss=0.635150, Train Acc=10.12%, Val Loss=1.228385, Val Acc=7.28%
Epoch 23: Train Loss=0.628962, Train Acc=10.06%, Val Loss=1.232595, Val Acc=7.34%
Epoch 24: Train Loss=0.627383, Train Acc=10.20%, Val Loss=1.235382, Val Acc=7.48%
Epoch 25: Train Loss=0.622590, Train Acc=10.33%, Val Loss=1.236328, Val Acc=7.45%
Epoch 26: Train Loss=0.613008, Train Acc=10.13%, Val Loss=1.238436, Val Acc=7.40%
Epoch 27: Train Loss=0.614043, Train Acc=10.45%, Val Loss=1.240705, Val Acc=7.33%
Epoch 28: Train Loss=0.607341, Train Acc=10.32%, Val Loss=1.242289, Val Acc=7.30%
Epoch 29: Train Loss=0.607414, Train Acc=10.42%, Val Loss=1.244930, Val Acc=7.33%
Epoch 30: Train Loss=0.609210, Train Acc=10.27%, Val Loss=1.245836, Val Acc=7.27%
Epoch 31: Train Loss=0.603476, Train Acc=10.49%, Val Loss=1.248086, Val Acc=7.24%
Epoch 1: Train Loss=1.010302, Train Acc=7.97%, Val Loss=1.017832, Val Acc=7.89%
Epoch 2: Train Loss=0.986576, Train Acc=8.06%, Val Loss=1.020281, Val Acc=7.71%
Epoch 3: Train Loss=0.969627, Train Acc=8.12%, Val Loss=1.022588, Val Acc=8.39%
Epoch 4: Train Loss=0.950338, Train Acc=8.26%, Val Loss=1.033559, Val Acc=8.11%
Epoch 5: Train Loss=0.929119, Train Acc=8.37%, Val Loss=1.050362, Val Acc=7.92%
Epoch 6: Train Loss=0.902646, Train Acc=8.62%, Val Loss=1.066891, Val Acc=8.11%
Epoch 7: Train Loss=0.873674, Train Acc=8.72%, Val Loss=1.087731, Val Acc=7.14%
Epoch 8: Train Loss=0.837469, Train Acc=9.06%, Val Loss=1.103482, Val Acc=7.92%
Epoch 9: Train Loss=0.821048, Train Acc=8.67%, Val Loss=1.116502, Val Acc=7.38%
Epoch 10: Train Loss=0.801139, Train Acc=8.84%, Val Loss=1.130342, Val Acc=7.48%
Epoch 11: Train Loss=0.784176, Train Acc=9.27%, Val Loss=1.143352, Val Acc=7.32%
Epoch 12: Train Loss=0.758019, Train Acc=9.13%, Val Loss=1.161082, Val Acc=7.38%
Epoch 13: Train Loss=0.739326, Train Acc=9.39%, Val Loss=1.176186, Val Acc=6.93%
Epoch 14: Train Loss=0.716045, Train Acc=9.48%, Val Loss=1.186671, Val Acc=7.18%
Epoch 15: Train Loss=0.704956, Train Acc=9.47%, Val Loss=1.191623, Val Acc=6.74%
Epoch 16: Train Loss=0.689883, Train Acc=9.81%, Val Loss=1.200543, Val Acc=7.35%
Epoch 17: Train Loss=0.681748, Train Acc=10.16%, Val Loss=1.208114, Val Acc=7.32%
Epoch 18: Train Loss=0.671484, Train Acc=9.91%, Val Loss=1.216325, Val Acc=7.32%
Epoch 19: Train Loss=0.663217, Train Acc=9.56%, Val Loss=1.222119, Val Acc=7.13%
Epoch 20: Train Loss=0.649937, Train Acc=9.95%, Val Loss=1.226178, Val Acc=7.24%
Epoch 21: Train Loss=0.643056, Train Acc=9.74%, Val Loss=1.230183, Val Acc=7.20%
Epoch 22: Train Loss=0.641910, Train Acc=9.91%, Val Loss=1.234725, Val Acc=7.09%
Epoch 23: Train Loss=0.636249, Train Acc=10.01%, Val Loss=1.237505, Val Acc=7.46%
Epoch 24: Train Loss=0.628999, Train Acc=9.79%, Val Loss=1.240617, Val Acc=7.40%
Epoch 25: Train Loss=0.623817, Train Acc=10.23%, Val Loss=1.245817, Val Acc=7.39%
Epoch 26: Train Loss=0.621635, Train Acc=9.92%, Val Loss=1.247222, Val Acc=7.27%
Epoch 27: Train Loss=0.617962, Train Acc=10.24%, Val Loss=1.249058, Val Acc=7.33%
Epoch 28: Train Loss=0.618121, Train Acc=10.06%, Val Loss=1.250207, Val Acc=7.13%
Epoch 29: Train Loss=0.612321, Train Acc=10.22%, Val Loss=1.252300, Val Acc=7.19%
Epoch 30: Train Loss=0.612193, Train Acc=10.06%, Val Loss=1.253859, Val Acc=7.18%
Epoch 31: Train Loss=0.609899, Train Acc=10.40%, Val Loss=1.254913, Val Acc=7.33%
Epoch 1: Train Loss=0.975466, Train Acc=8.09%, Val Loss=1.033376, Val Acc=8.28%
Epoch 2: Train Loss=0.953473, Train Acc=8.11%, Val Loss=1.034122, Val Acc=8.21%
Epoch 3: Train Loss=0.937915, Train Acc=8.29%, Val Loss=1.037058, Val Acc=8.28%
Epoch 4: Train Loss=0.920025, Train Acc=8.23%, Val Loss=1.046888, Val Acc=7.98%
Epoch 5: Train Loss=0.897904, Train Acc=8.52%, Val Loss=1.060012, Val Acc=8.02%
Epoch 6: Train Loss=0.871984, Train Acc=8.63%, Val Loss=1.081428, Val Acc=7.54%
Epoch 7: Train Loss=0.846402, Train Acc=8.61%, Val Loss=1.097682, Val Acc=7.83%
Epoch 8: Train Loss=0.811687, Train Acc=9.11%, Val Loss=1.109013, Val Acc=7.29%
Epoch 9: Train Loss=0.794621, Train Acc=8.93%, Val Loss=1.122284, Val Acc=7.53%
Epoch 10: Train Loss=0.772611, Train Acc=9.35%, Val Loss=1.134550, Val Acc=7.05%
Epoch 11: Train Loss=0.757465, Train Acc=9.12%, Val Loss=1.150529, Val Acc=7.29%
Epoch 12: Train Loss=0.735138, Train Acc=9.35%, Val Loss=1.163800, Val Acc=7.36%
Epoch 13: Train Loss=0.713103, Train Acc=9.38%, Val Loss=1.176810, Val Acc=7.49%
Epoch 14: Train Loss=0.689876, Train Acc=9.77%, Val Loss=1.186577, Val Acc=7.37%
Epoch 15: Train Loss=0.679814, Train Acc=9.53%, Val Loss=1.191260, Val Acc=7.48%
Epoch 16: Train Loss=0.667503, Train Acc=9.98%, Val Loss=1.198906, Val Acc=7.55%
Epoch 17: Train Loss=0.659553, Train Acc=9.84%, Val Loss=1.207219, Val Acc=7.24%
Epoch 18: Train Loss=0.647912, Train Acc=9.99%, Val Loss=1.215839, Val Acc=7.65%
Epoch 19: Train Loss=0.636360, Train Acc=10.01%, Val Loss=1.222974, Val Acc=7.38%
Epoch 20: Train Loss=0.627189, Train Acc=10.04%, Val Loss=1.227086, Val Acc=7.49%
Epoch 21: Train Loss=0.620445, Train Acc=10.24%, Val Loss=1.230552, Val Acc=7.38%
Epoch 22: Train Loss=0.618094, Train Acc=9.90%, Val Loss=1.234072, Val Acc=7.20%
Epoch 23: Train Loss=0.612633, Train Acc=10.32%, Val Loss=1.237363, Val Acc=7.20%
Epoch 24: Train Loss=0.608501, Train Acc=10.37%, Val Loss=1.240320, Val Acc=6.97%
Epoch 25: Train Loss=0.607364, Train Acc=10.38%, Val Loss=1.243942, Val Acc=7.44%
Epoch 26: Train Loss=0.599533, Train Acc=9.97%, Val Loss=1.245928, Val Acc=7.39%
Epoch 27: Train Loss=0.596191, Train Acc=10.38%, Val Loss=1.248276, Val Acc=7.35%
Epoch 28: Train Loss=0.596581, Train Acc=10.31%, Val Loss=1.249389, Val Acc=7.18%
Epoch 29: Train Loss=0.588655, Train Acc=10.70%, Val Loss=1.250361, Val Acc=7.21%
Epoch 30: Train Loss=0.593196, Train Acc=10.41%, Val Loss=1.251268, Val Acc=7.21%
Epoch 31: Train Loss=0.591142, Train Acc=10.25%, Val Loss=1.253452, Val Acc=7.14%
Epoch 1: Train Loss=0.998354, Train Acc=8.16%, Val Loss=1.004800, Val Acc=7.73%
Epoch 2: Train Loss=0.973502, Train Acc=8.30%, Val Loss=1.004115, Val Acc=7.29%
Epoch 3: Train Loss=0.957958, Train Acc=8.49%, Val Loss=1.008857, Val Acc=7.45%
Epoch 4: Train Loss=0.938555, Train Acc=8.22%, Val Loss=1.017459, Val Acc=7.39%
Epoch 5: Train Loss=0.919253, Train Acc=8.60%, Val Loss=1.031065, Val Acc=7.74%
Epoch 6: Train Loss=0.895895, Train Acc=8.46%, Val Loss=1.046629, Val Acc=7.87%
Epoch 7: Train Loss=0.864036, Train Acc=8.71%, Val Loss=1.070476, Val Acc=7.99%
Epoch 8: Train Loss=0.833440, Train Acc=8.70%, Val Loss=1.100089, Val Acc=6.97%
Epoch 9: Train Loss=0.795034, Train Acc=9.04%, Val Loss=1.110754, Val Acc=7.39%
Epoch 10: Train Loss=0.774712, Train Acc=8.85%, Val Loss=1.132025, Val Acc=6.86%
Epoch 11: Train Loss=0.753708, Train Acc=9.13%, Val Loss=1.146668, Val Acc=7.31%
Epoch 12: Train Loss=0.727606, Train Acc=9.42%, Val Loss=1.160458, Val Acc=6.83%
Epoch 13: Train Loss=0.713479, Train Acc=9.50%, Val Loss=1.177997, Val Acc=6.80%
Epoch 14: Train Loss=0.690973, Train Acc=9.44%, Val Loss=1.191834, Val Acc=6.86%
Epoch 15: Train Loss=0.662951, Train Acc=9.52%, Val Loss=1.199897, Val Acc=6.89%
Epoch 16: Train Loss=0.652464, Train Acc=9.32%, Val Loss=1.213233, Val Acc=6.95%
